eid	filename	class_mark	sort_class_mark
122841	MS-DAR-00003-000-00062.jpg	DAR 3: 223-&-224v	DAR 00003: 00223 00224V
122253	MS-DAR-00003-000-00063.jpg	DAR 3: 225r	DAR 00003: 00225R
122842	MS-DAR-00003-000-00064.jpg	DAR 3: 225v	DAR 00003: 00225V
122254	MS-DAR-00003-000-00065.jpg	DAR 3: 226r	DAR 00003: 00226R
122843	MS-DAR-00003-000-00066.jpg	DAR 3: 226v	DAR 00003: 00226V
122255	MS-DAR-00003-000-00067.jpg	DAR 3: 226ar	DAR 00003: 00226_zAR
122844	MS-DAR-00003-000-00068.jpg	DAR 3: 226av	DAR 00003: 00226_zAV
122256	MS-DAR-00003-000-00069.jpg	DAR 3: 227r	DAR 00003: 00227R
122845	MS-DAR-00003-000-00070.jpg	DAR 3: 227v	DAR 00003: 00227V
122257	MS-DAR-00003-000-00071.jpg	DAR 3: 227ar	DAR 00003: 00227_zAR
122846	MS-DAR-00003-000-00072.jpg	DAR 3: 227av	DAR 00003: 00227_zAV
122258	MS-DAR-00003-000-00073.jpg	DAR 3: 228r	DAR 00003: 00228R
122847	MS-DAR-00003-000-00074.jpg	DAR 3: 228v	DAR 00003: 00228V
122259	MS-DAR-00003-000-00075.jpg	DAR 3: 229ar	DAR 00003: 00229AR
122849	MS-DAR-00003-000-00076.jpg	DAR 3: 229av	DAR 00003: 00229AV
122260	MS-DAR-00003-000-00077.jpg	DAR 3: 229r	DAR 00003: 00229R
122848	MS-DAR-00003-000-00078.jpg	DAR 3: 229v	DAR 00003: 00229V
122261	MS-DAR-00003-000-00079.jpg	DAR 3: 230ar	DAR 00003: 00230AR
122851	MS-DAR-00003-000-00080.jpg	DAR 3: 230av	DAR 00003: 00230AV
122262	MS-DAR-00003-000-00081.jpg	DAR 3: 230r	DAR 00003: 00230R
122850	MS-DAR-00003-000-00082.jpg	DAR 3: 230v	DAR 00003: 00230V
122263	MS-DAR-00003-000-00083.jpg	DAR 3: 231ar	DAR 00003: 00231AR
122853	MS-DAR-00003-000-00084.jpg	DAR 3: 231av	DAR 00003: 00231AV
122264	MS-DAR-00003-000-00085.jpg	DAR 3: 231r	DAR 00003: 00231R
122852	MS-DAR-00003-000-00086.jpg	DAR 3: 231v	DAR 00003: 00231V
122265	MS-DAR-00003-000-00087.jpg	DAR 3: 232r	DAR 00003: 00232R
122854	MS-DAR-00003-000-00088.jpg	DAR 3: 232v	DAR 00003: 00232V
122266	MS-DAR-00003-000-00089.jpg	DAR 3: 233ar	DAR 00003: 00233AR
122856	MS-DAR-00003-000-00090.jpg	DAR 3: 233av	DAR 00003: 00233AV
122267	MS-DAR-00003-000-00091.jpg	DAR 3: 233r	DAR 00003: 00233R
122855	MS-DAR-00003-000-00092.jpg	DAR 3: 233v	DAR 00003: 00233V
122268	MS-DAR-00003-000-00093.jpg	DAR 3: 234ar	DAR 00003: 00234AR
122858	MS-DAR-00003-000-00094.jpg	DAR 3: 234av	DAR 00003: 00234AV
122269	MS-DAR-00003-000-00095.jpg	DAR 3: 234r	DAR 00003: 00234R
122857	MS-DAR-00003-000-00096.jpg	DAR 3: 234v	DAR 00003: 00234V
122270	MS-DAR-00003-000-00097.jpg	DAR 3: 235ar	DAR 00003: 00235AR
122860	MS-DAR-00003-000-00098.jpg	DAR 3: 235av	DAR 00003: 00235AV
122271	MS-DAR-00003-000-00099.jpg	DAR 3: 235r	DAR 00003: 00235R
122859	MS-DAR-00003-000-00100.jpg	DAR 3: 235v	DAR 00003: 00235V
122272	MS-DAR-00003-000-00101.jpg	DAR 3: 236r	DAR 00003: 00236R
122861	MS-DAR-00003-000-00102.jpg	DAR 3: 236v	DAR 00003: 00236V
122273	MS-DAR-00003-000-00103.jpg	DAR 3: 236ar	DAR 00003: 00236_zAR
122862	MS-DAR-00003-000-00104.jpg	DAR 3: 236av	DAR 00003: 00236_zAV
